TEAM,YEAR,Team_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
Lakers,1985,1610612747.0,48.19512195121951,88.46341463414635,0.5449878048780487,1.0975609756097562,3.0,0.5,20.75609756097561,27.21951219512195,0.7657926829268293,,,0.0,31.341463414634145,,8.0,14.0,23.524390243902438,118.2439024390244
Celtics,1986,1610612738.0,45.34146341463415,89.17073170731707,0.5101219512195122,1.6829268292682926,4.7926829268292686,0.32383333333333336,21.76829268292683,27.414634146341463,0.7896049382716048,12.890243902439025,33.53658536585366,46.426829268292686,28.98780487804878,7.780487804878049,6.2317073170731705,16.26829268292683,21.4390243902439,114.13414634146342
Lakers,1987,1610612747.0,45.609756097560975,88.32926829268293,0.516390243902439,2.0,5.439024390243903,0.162,24.536585365853657,31.085365853658537,0.7874268292682927,13.74390243902439,30.670731707317074,44.41463414634146,29.621951219512194,8.878048780487806,5.841463414634147,16.378048780487806,22.597560975609756,117.7560975609756
Lakers,1988,1610612747.0,43.609756097560975,86.3170731707317,0.504658536585366,1.7317073170731707,5.829268292682927,0.2876585365853659,23.853658536585368,30.24390243902439,0.7876951219512195,13.085365853658537,30.378048780487806,43.46341463414634,28.621951219512194,8.195121951219512,4.926829268292683,15.865853658536585,20.914634146341463,112.8048780487805
Pistons,1989,1610612765.0,41.40243902439025,83.89024390243902,0.49502439024390243,1.4634146341463414,4.878048780487805,0.2629512195121951,22.317073170731707,29.01219512195122,0.7691219512195122,14.073170731707316,31.024390243902438,45.09756097560975,24.71951219512195,6.365853658536586,4.951219512195122,16.048780487804876,23.646341463414632,106.58536585365853
Pistons,1990,1610612765.0,40.646341463414636,85.1219512195122,0.4790609756097562,2.158536585365854,6.597560975609756,0.30742682926829273,20.890243902439025,27.463414634146343,0.7590731707317071,14.451219512195122,29.975609756097562,44.426829268292686,24.341463414634145,6.2439024390243905,5.097560975609756,14.560975609756097,23.914634146341463,104.34146341463415
Bulls,1991,1610612741.0,44.292682926829265,86.89024390243902,0.5109268292682927,1.8902439024390243,5.170731707317073,0.34240243902439027,19.573170731707318,25.74390243902439,0.7562439024390243,14.0,28.5609756097561,42.5609756097561,26.975609756097562,10.024390243902438,5.341463414634147,14.0,21.353658536585368,110.04878048780488
Bulls,1992,1610612741.0,44.426829268292686,87.41463414634147,0.509280487804878,1.6829268292682926,5.536585365853658,0.29348780487804876,19.353658536585368,26.0,0.742109756097561,14.304878048780488,29.74390243902439,44.048780487804876,27.79268292682927,8.195121951219512,5.853658536585366,12.804878048780488,20.646341463414632,109.89024390243902
Bulls,1993,1610612741.0,42.3780487804878,87.86585365853658,0.4827317073170732,2.975609756097561,8.158536585365853,0.37628048780487805,17.451219512195124,23.804878048780488,0.736719512195122,15.731707317073171,27.841463414634145,43.573170731707314,26.01219512195122,9.548780487804878,4.951219512195122,12.926829268292684,22.0,105.1829268292683
Rockets,1994,1610612745.0,38.98780487804878,82.10975609756098,0.4754756097560976,5.2317073170731705,15.670731707317072,0.33417073170731704,17.914634146341463,24.121951219512194,0.739390243902439,11.292682926829269,31.9390243902439,43.23170731707317,25.451219512195124,8.74390243902439,5.914634146341464,15.914634146341463,20.073170731707318,101.1219512195122
Bulls,1996,1610612741.0,40.15853658536585,84.04878048780488,0.4785243902439024,6.634146341463414,16.451219512195124,0.39936585365853655,18.23170731707317,24.4390243902439,0.7469268292682928,15.207317073170731,29.402439024390244,44.609756097560975,24.79268292682927,9.085365853658537,4.2073170731707314,13.829268292682928,22.036585365853657,105.1829268292683
Bulls,1997,1610612741.0,39.96341463414634,84.42682926829268,0.47381707317073163,6.378048780487805,17.109756097560975,0.37206097560975615,16.841463414634145,22.536585365853657,0.7459512195121951,15.060975609756097,30.01219512195122,45.073170731707314,26.121951219512194,8.731707317073171,4.048780487804878,13.109756097560975,19.71951219512195,103.14634146341463
Bulls,1998,1610612741.0,37.36585365853659,82.9390243902439,0.45249999999999996,3.792682926829268,11.731707317073171,0.3125,18.195121951219512,24.5,0.738609756097561,15.158536585365853,29.73170731707317,44.890243902439025,23.804878048780488,8.487804878048781,4.304878048780488,13.304878048780488,20.621951219512194,96.71951219512195
Spurs,1999,1610612759.0,34.8,76.24,0.45783999999999997,3.44,10.42,0.32766,19.76,28.3,0.6998399999999999,12.28,31.68,43.96,22.02,8.42,7.02,14.34,20.2,92.8
Lakers,2000,1610612747.0,38.25609756097561,83.36585365853658,0.4597926829268293,4.195121951219512,12.768292682926829,0.3227926829268292,20.109756097560975,28.878048780487806,0.6951829268292684,13.621951219512194,33.390243902439025,47.01219512195122,23.426829268292682,7.475609756097561,6.512195121951219,13.487804878048781,22.451219512195124,100.8170731707317
Lakers,2001,1610612747.0,37.91463414634146,81.52439024390245,0.4656951219512195,5.353658536585366,15.548780487804878,0.347890243902439,19.4390243902439,28.451219512195124,0.6832560975609756,13.231707317073171,31.5,44.73170731707317,23.024390243902438,6.878048780487805,5.975609756097561,13.865853658536585,22.829268292682926,100.6219512195122
Lakers,2002,1610612747.0,38.41463414634146,83.41463414634147,0.46141463414634154,6.219512195121951,17.548780487804876,0.3521951219512195,18.21951219512195,26.073170731707318,0.7050487804878048,12.463414634146341,31.79268292682927,44.25609756097561,22.951219512195124,7.621951219512195,5.829268292682927,12.134146341463415,22.23170731707317,101.26829268292683
Spurs,2003,1610612759.0,35.46341463414634,76.79268292682927,0.46191463414634143,5.475609756097561,15.487804878048781,0.3500731707317073,19.402439024390244,26.75609756097561,0.7223658536585366,11.451219512195122,31.170731707317074,42.6219512195122,19.951219512195124,7.670731707317073,6.451219512195122,15.365853658536585,20.390243902439025,95.8048780487805
Pistons,2004,1610612765.0,33.5,77.0,0.436048780487805,4.060975609756097,11.804878048780488,0.3405121951219512,19.036585365853657,25.29268292682927,0.7540731707317072,12.365853658536585,30.390243902439025,42.75609756097561,20.75609756097561,8.036585365853659,6.951219512195122,14.378048780487806,20.29268292682927,90.09756097560975
Spurs,2005,1610612759.0,35.646341463414636,78.65853658536585,0.4546707317073171,6.182926829268292,17.01219512195122,0.3632317073170731,18.71951219512195,25.853658536585368,0.7269146341463415,12.036585365853659,30.353658536585368,42.390243902439025,21.597560975609756,7.475609756097561,6.621951219512195,13.024390243902438,20.9390243902439,96.1951219512195
Heat,2006,1610612748.0,37.0609756097561,77.5,0.47915853658536584,6.060975609756097,17.573170731707318,0.33558536585365856,19.70731707317073,28.170731707317074,0.6956707317073171,10.463414634146341,32.6219512195122,43.08536585365854,20.634146341463413,6.365853658536586,5.390243902439025,13.890243902439025,22.817073170731707,99.89024390243902
Spurs,2007,1610612759.0,36.573170731707314,77.17073170731707,0.4760487804878049,7.2560975609756095,19.036585365853657,0.37632926829268293,18.121951219512194,24.146341463414632,0.7577560975609757,9.28048780487805,31.426829268292682,40.707317073170735,22.121951219512194,7.158536585365853,5.085365853658536,13.28048780487805,19.365853658536587,98.52439024390245
Celtics,2008,1610612738.0,36.41463414634146,76.65853658536585,0.4759024390243903,7.2682926829268295,19.073170731707318,0.37676829268292683,20.451219512195124,26.536585365853657,0.7695000000000001,10.121951219512194,31.890243902439025,42.01219512195122,22.353658536585368,8.487804878048781,4.621951219512195,14.402439024390244,22.73170731707317,100.54878048780488
Lakers,2009,1610612747.0,40.329268292682926,85.13414634146342,0.4748414634146342,6.670731707317073,18.48780487804878,0.36534146341463414,19.597560975609756,25.451219512195124,0.7679268292682927,12.378048780487806,31.548780487804876,43.926829268292686,23.26829268292683,8.75609756097561,5.121951219512195,13.121951219512194,20.70731707317073,106.92682926829268
Lakers,2010,1610612747.0,38.34146341463415,83.84146341463415,0.45834146341463416,6.487804878048781,19.048780487804876,0.33818292682926826,18.524390243902438,24.20731707317073,0.7604878048780488,11.865853658536585,32.46341463414634,44.329268292682926,21.097560975609756,7.463414634146342,4.878048780487805,13.0,19.414634146341463,101.6951219512195
Mavericks,2011,1610612742.0,37.426829268292686,78.8170731707317,0.4753292682926829,7.865853658536586,21.5609756097561,0.3644268292682927,17.524390243902438,22.5609756097561,0.7749999999999999,9.512195121951219,31.926829268292682,41.4390243902439,23.829268292682926,6.7926829268292686,4.2926829268292686,13.5,19.20731707317073,100.2439024390244
Heat,2012,1610612748.0,37.06060606060606,78.96969696969697,0.46959090909090906,5.606060606060606,15.606060606060606,0.3524848484848485,18.757575757575758,24.21212121212121,0.7723333333333334,10.393939393939394,31.21212121212121,41.60606060606061,19.954545454545453,8.863636363636363,5.378787878787879,14.712121212121213,19.424242424242426,98.48484848484848
Heat,2013,1610612748.0,38.390243902439025,77.41463414634147,0.49702439024390244,8.74390243902439,22.0609756097561,0.39356097560975606,17.353658536585368,23.01219512195122,0.7590609756097562,8.24390243902439,30.365853658536587,38.609756097560975,23.048780487804876,8.658536585365853,5.378048780487805,13.268292682926829,18.695121951219512,102.8780487804878
Spurs,2014,1610612759.0,40.5609756097561,83.46341463414635,0.48735365853658547,8.512195121951219,21.426829268292682,0.3970975609756097,15.71951219512195,20.024390243902438,0.7806341463414634,9.292682926829269,33.97560975609756,43.26829268292683,25.170731707317074,7.365853658536586,5.121951219512195,14.060975609756097,18.23170731707317,105.35365853658537
Warriors,2015,1610612744.0,41.58536585365854,87.03658536585365,0.47923170731707315,10.768292682926829,27.036585365853657,0.39787804878048777,16.01219512195122,20.841463414634145,0.7673780487804877,10.402439024390244,34.31707317073171,44.71951219512195,27.414634146341463,9.292682926829269,6.048780487804878,14.097560975609756,19.853658536585368,109.95121951219512
Cavaliers,2016,1610612739.0,38.670731707317074,84.0,0.46195121951219514,10.731707317073171,29.609756097560975,0.3624512195121951,16.25609756097561,21.74390243902439,0.7491463414634145,10.646341463414634,33.86585365853659,44.51219512195122,22.695121951219512,6.719512195121951,3.8658536585365852,12.878048780487806,20.317073170731707,104.32926829268293
Warriors,2017,1610612744.0,43.073170731707314,87.07317073170732,0.4959634146341463,11.975609756097562,31.24390243902439,0.38595121951219513,17.76829268292683,22.5609756097561,0.784231707317073,9.390243902439025,35.03658536585366,44.426829268292686,30.378048780487806,9.573170731707316,6.7682926829268295,14.414634146341463,19.329268292682926,115.89024390243902
Warriors,2018,1610612744.0,42.792682926829265,85.10975609756098,0.5035243902439024,11.292682926829269,28.890243902439025,0.38880487804878044,16.585365853658537,20.341463414634145,0.8139268292682927,8.426829268292684,35.08536585365854,43.51219512195122,29.29268292682927,8.0,7.463414634146342,14.987804878048781,19.597560975609756,113.46341463414635
Raptors,2019,1610612761.0,42.19512195121951,89.08536585365853,0.4758780487804878,12.378048780487806,33.792682926829265,0.3651829268292683,17.670731707317074,21.98780487804878,0.8084268292682927,9.585365853658537,35.609756097560975,45.19512195121951,25.426829268292682,8.292682926829269,5.329268292682927,13.329268292682928,21.024390243902438,114.4390243902439
Lakers,2020,1610612747.0,42.33802816901409,88.29577464788733,0.47911267605633817,11.014084507042254,31.577464788732396,0.3477042253521126,17.746478873239436,24.338028169014084,0.7284788732394365,10.661971830985916,35.070422535211264,45.732394366197184,25.3943661971831,8.619718309859154,6.591549295774648,14.661971830985916,20.718309859154928,113.43661971830986
Bucks,2021,1610612749.0,44.736111111111114,91.80555555555556,0.4880138888888889,14.416666666666666,37.06944444444444,0.38581944444444444,16.23611111111111,21.375,0.7607916666666665,10.291666666666666,37.833333333333336,48.125,25.47222222222222,8.125,4.638888888888889,13.38888888888889,17.27777777777778,120.125
Warriors,2022,1610612744.0,40.52439024390244,86.42682926829268,0.46918292682926827,14.341463414634147,39.40243902439025,0.3645243902439025,15.609756097560975,20.304878048780488,0.7717073170731708,9.75609756097561,35.73170731707317,45.48780487804878,27.109756097560975,8.768292682926829,4.536585365853658,14.317073170731707,21.01219512195122,111.0
Nuggets,2023,1610612743.0,43.58536585365854,86.4390243902439,0.5053658536585365,11.817073170731707,31.20731707317073,0.3760121951219512,16.804878048780488,22.365853658536587,0.7536585365853659,10.097560975609756,32.91463414634146,43.01219512195122,28.878048780487806,7.536585365853658,4.487804878048781,13.829268292682928,18.597560975609756,115.79268292682927
